,anio,Mes,Dia,time_delta
236,2019,8,25,11.23
237,2019,8,26,10.9
238,2019,8,27,10.98
239,2019,8,28,11.02
240,2019,8,29,10.95
241,2019,8,30,11.22
242,2019,8,31,10.6
243,2019,9,1,12.02
244,2019,9,2,10.87
245,2019,9,3,11.03
246,2019,9,4,11.0
247,2019,9,5,10.93
248,2019,9,6,11.47
249,2019,9,7,10.35
250,2019,9,8,11.87
251,2019,9,9,10.77
252,2019,9,10,10.72
253,2019,9,11,10.98
254,2019,9,12,10.87
255,2019,9,13,10.98
256,2019,9,14,10.48
257,2019,9,15,12.02
258,2019,9,16,10.43
259,2019,9,17,10.75
260,2019,9,18,10.67
261,2019,9,19,10.82
262,2019,9,20,11.17
263,2019,9,21,10.95
264,2019,9,22,11.98
265,2019,9,23,11.05
266,2019,9,24,10.52
267,2019,9,25,10.8
268,2019,9,26,11.37
269,2019,9,27,11.53
270,2019,9,28,10.52
271,2019,9,29,10.23
272,2019,9,30,10.6
273,2019,10,1,10.95
274,2019,10,2,11.08
275,2019,10,3,11.1
276,2019,10,4,11.23
277,2019,10,5,10.42
278,2019,10,6,11.62
279,2019,10,7,10.98
280,2019,10,8,10.88
281,2019,10,9,10.9
282,2019,10,10,11.28
283,2019,10,11,11.33
284,2019,10,12,10.87
285,2019,10,13,11.8
286,2019,10,14,11.03
287,2019,10,15,11.08
288,2019,10,16,10.85
289,2019,10,17,11.2
290,2019,10,18,11.32
291,2019,10,19,11.1
292,2019,10,20,12.0
293,2019,10,21,10.95
294,2019,10,22,10.9
295,2019,10,23,10.93
296,2019,10,24,10.93
297,2019,10,25,11.18
298,2019,10,26,10.8
299,2019,10,27,12.024999999999999
300,2019,10,28,11.024999999999999
301,2019,10,29,11.09
302,2019,10,30,10.7
303,2019,10,31,10.95
304,2019,11,1,11.18
305,2019,11,2,10.27
306,2019,11,3,11.49
307,2019,11,4,11.02
308,2019,11,5,10.92
309,2019,11,6,11.15
310,2019,11,7,11.15
311,2019,11,8,11.48
312,2019,11,9,13.33
313,2019,11,10,11.78
314,2019,11,11,10.78
315,2019,11,12,11.02
316,2019,11,13,10.93
317,2019,11,14,11.05
318,2019,11,15,11.1
